Genus	T001	T002	T003	T004	T005	T006	T007	T008	T009	T010	T011	T012	T013	T014	T015	T016	T017	T018	T019	T020	T021	T022	T023	T024	T025	T026	T027	T028	T029	T030	T031	T032	T033	T034	T035	T036	T037	T038	T039	T040	T041	T042	T043	T044	T045	T046	T047	T048	T049	T050	T051	T052	T053	T054	T055	T056	T057	T058	T059	T060
Genus_01	8370	1876	4818	3119	6264	2327	4749	2581	4105	6428	4362	2040	7189	2187	3714	6586	4005	3959	4112	1814	3599	5029	4775	2084	3781	4767	1949	1499	5286	6007	888	3880	2667	4580	2491	5637	6014	4945	2584	1146	2730	1274	4336	2971	3047	2664	3912	4443	3465	4364	4200	2549	3651	3207	6884	909	2097	1400	1766	2754
Genus_02	2527	1197	3983	977	2048	4915	3244	992	6240	4267	4797	4868	1797	2811	3933	4674	3181	2551	3876	2601	3149	2775	2602	1080	2114	1220	3978	3473	3427	1399	5515	3305	1553	1628	5121	1086	5008	2532	3429	2150	1281	2861	1088	2671	2884	991	791	2348	4132	1755	1546	2356	1205	1799	1843	1705	4142	1949	1030	4875
Genus_03	1409	2491	1111	1472	3044	1626	1127	510	1459	2523	1520	2478	2890	4689	3874	1821	4602	1949	2464	2026	2516	3004	2148	3545	2986	776	601	1589	2895	2334	7042	2626	5722	4535	3097	5889	3385	3973	2038	1243	5043	5079	4893	3254	2099	4645	1432	1451	3007	3191	2137	3575	919	3480	1649	4107	3947	4564	2986	5791
Genus_04	2060	1202	4976	2238	4234	2744	1405	1327	1850	2128	1773	1581	2767	1336	1141	1225	2126	1720	4475	541	1719	2224	1675	2579	1115	830	669	1642	3210	2082	1030	812	984	2087	2498	1467	2170	1983	2099	940	1382	1671	1961	3219	872	1950	2707	371	3269	2076	1414	1301	488	2145	727	794	974	1097	1159	945
Genus_05	1002	888	924	804	1664	2778	1210	2088	1026	919	626	1231	2035	1430	639	920	1093	744	1859	739	1064	682	1368	1173	3768	873	2402	682	1455	1368	3486	852	668	544	1474	961	703	1213	1077	2376	1291	1014	1469	1339	995	394	873	1197	2304	1298	2633	626	866	1171	412	678	1328	1501	703	1102
Genus_06	1306	199	1131	315	1037	874	623	670	640	471	529	1098	1080	724	626	407	1612	2589	883	576	848	735	762	841	1341	805	340	324	607	1154	547	727	1635	280	434	545	449	2731	785	778	503	772	737	522	607	988	824	157	538	916	1132	320	434	576	370	266	703	640	378	396
Genus_07	977	549	360	724	652	519	288	400	360	316	517	1510	1147	1561	839	450	623	1063	605	155	1334	423	568	428	625	426	276	603	605	548	378	426	585	159	306	240	230	324	206	358	242	289	322	124	262	86	140	162	335	261	320	179	82	283	205	98	335	183	207	140
Genus_08	569	196	293	286	551	644	203	244	555	331	216	708	378	432	302	201	560	455	883	264	427	321	701	260	368	106	367	432	645	308	400	434	421	159	394	429	277	732	657	221	161	391	391	515	503	181	172	226	201	395	344	504	173	325	318	281	345	209	296	488
Genus_09	296	116	297	128	210	244	155	69	161	83	423	509	202	207	264	199	231	269	475	102	99	266	190	242	330	69	97	140	127	221	455	229	180	197	181	209	198	290	324	229	91	99	233	295	289	96	71	21	236	290	528	121	70	361	232	67	134	64	165	287
Genus_10	154	93	216	74	129	58	114	68	71	165	170	382	200	176	69	61	148	69	170	55	101	209	61	74	172	120	21	66	161	570	63	429	183	98	94	125	326	306	152	59	75	47	324	322	163	50	120	48	277	340	361	152	144	49	61	65	443	110	76	91
Genus_11	7	4	14	3	16	10	11	2	1	1	6	14	11	18	35	4	15	25	22	1	16	27	6	9	11	14	1	6	13	5	9	8	22	13	18	22	12	20	10	7	3	4	16	7	5	4	3	6	0	15	12	5	5	6	16	3	10	6	5	10
Genus_12	7	3	3	1	2	1	4	1	8	4	1	2	3	5	6	2	9	8	10	0	4	1	2	2	17	1	1	0	2	2	3	4	3	1	3	1	3	10	2	0	0	4	2	4	3	2	0	4	9	4	1	2	3	3	1	2	3	0	2	4
