Genus	unadjusted_estimated_log_effect	unadjusted_standard_error	unadjusted_p_value	unadjusted_q_value_BH	unadjusted_differential_robust	adjusted_estimated_log_effect	adjusted_standard_error	adjusted_p_value	adjusted_q_value_BH	adjusted_differential_robust	simulated_group_T2D_log_effect	simulated_metformin_Yes_log_effect	estimate_change_after_adjustment	absolute_estimate_change	unadjusted_only_robust	adjusted_only_robust	simulated_metformin_only_signal
Genus_10	0.308798148297815	0.215580059807308	0.157395483867642	0.577116774181353	FALSE	-0.107611544693518	0.237892271592639	0.652825948251565	0.797898381196357	FALSE	0	0.8	-0.416409692991333	0.416409692991333	FALSE	FALSE	TRUE
Genus_01	-0.11066258003182	0.206316574092741	0.593752357155942	0.874986444894718	FALSE	-0.241958423995299	0.258624693803889	0.353665899427824	0.72188667707276	FALSE	0	0	-0.131295843963479	0.131295843963479	FALSE	FALSE	FALSE
Genus_09	0.0626230703347697	0.193278643111352	0.747100473722434	0.874986444894718	FALSE	0.180550444397865	0.221737189468001	0.419075667905167	0.72188667707276	FALSE	0	0	0.117927374063095	0.117927374063095	FALSE	FALSE	FALSE
Genus_08	0.0226313905919583	0.180511700953709	0.900661398270602	0.900661398270602	FALSE	0.130525989394059	0.204010900883803	0.525008492416553	0.72188667707276	FALSE	0	0	0.107894598802101	0.107894598802101	FALSE	FALSE	FALSE
Genus_02	-0.0720770634134868	0.211162972520229	0.734085818131938	0.874986444894718	FALSE	-0.178880353757231	0.252999040908168	0.482581937961005	0.72188667707276	FALSE	0	0	-0.106803290343744	0.106803290343744	FALSE	FALSE	FALSE
Genus_05	0.0535607463389816	0.205650120389857	0.795442222631562	0.874986444894718	FALSE	-0.000477570740548378	0.245922004857569	0.998457697381537	0.998457697381537	FALSE	0	0	-0.05403831707953	0.05403831707953	FALSE	FALSE	FALSE
Genus_04	-0.116284878695541	0.193284658147923	0.549768280086014	0.874986444894718	FALSE	-0.14529851240522	0.22657497112531	0.524051909819885	0.72188667707276	FALSE	0	0	-0.0290136337096794	0.0290136337096794	FALSE	FALSE	FALSE
Genus_03	0.622394785073798	0.200870588825316	0.00299777592235448	0.0164877675729496	TRUE	0.65127291007234	0.235020865085318	0.0076462535435966	0.0420543944897813	TRUE	0.7	0	0.0288781249985416	0.0288781249985416	FALSE	FALSE	FALSE
Genus_07	-0.776283068099291	0.183209484899376	8.20714483778454e-05	0.0009027859321563	TRUE	-0.749531131993871	0.216093077323836	0.00103545606342948	0.0113900166977243	TRUE	-0.6	0	0.0267519361054196	0.0267519361054196	FALSE	FALSE	FALSE
Genus_11	0.258544065991388	0.237271859641783	0.280451249090764	0.771240934999601	FALSE	0.250338455030755	0.274631095896754	0.366136112673795	0.72188667707276	FALSE	0	0	-0.00820561096063277	0.00820561096063277	FALSE	FALSE	FALSE
Genus_06	-0.0727562625385882	0.191258327737222	0.705031967912349	0.874986444894718	FALSE	-0.0651763957224768	0.23545122410781	0.782979125671208	0.861277038238329	FALSE	0	0	0.00757986681611142	0.00757986681611142	FALSE	FALSE	FALSE
