minimum_prevalence	minimum_prevalence_percent	Genus	covariate	retained	estimated_log_effect	standard_error	p_value	q_value_BH	differential_robust	simulated_true_log_effect	simulated_true_signal	recovery_classification
0.05	5	Genus_01	T2D group	TRUE	-0.234497298441639	0.262390010082995	0.375449613602551	0.822686084400106	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_02	T2D group	TRUE	-0.171419228203571	0.25285264705775	0.500703682959896	0.822686084400106	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_03	T2D group	TRUE	0.658734035626	0.233845396148322	0.00675767373692798	0.0405460424215679	TRUE	0.7	TRUE	Detected simulated signal
0.05	5	Genus_04	T2D group	TRUE	-0.13783738685156	0.228256009541035	0.54845738960007	0.822686084400106	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_05	T2D group	TRUE	0.00698355481311196	0.244323224643704	0.977302338226174	0.977302338226174	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_06	T2D group	TRUE	-0.0577152701688163	0.231282894575819	0.803886798931999	0.876967417016726	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_07	T2D group	TRUE	-0.742070006440211	0.218849009544571	0.00130960736862793	0.0157152884235352	TRUE	-0.6	TRUE	Detected simulated signal
0.05	5	Genus_08	T2D group	TRUE	0.13798711494772	0.204961582936751	0.503669657102734	0.822686084400106	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_09	T2D group	TRUE	0.188011569951526	0.223639421048385	0.404228480924624	0.822686084400106	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_10	T2D group	TRUE	-0.100150419139857	0.241406005127015	0.679885835674579	0.838955535165936	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_11	T2D group	TRUE	0.256853741185378	0.280096656828848	0.36328718894486	0.822686084400106	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_12	T2D group	TRUE	-0.105106390803768	0.270322250452476	0.69912961263828	0.838955535165936	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_01	Age	TRUE	0.00699040786277148	0.161248337761086	0.965580996761183	0.965580996761183	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_02	Age	TRUE	0.114113953495001	0.15766345371502	0.472323597271202	0.942148259817008	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_03	Age	TRUE	0.155956469528081	0.14627860811157	0.291094861298191	0.942148259817008	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_04	Age	TRUE	0.136171331673414	0.142058003490128	0.3420519621539	0.942148259817008	FALSE	0.25	TRUE	Missed simulated signal
0.05	5	Genus_05	Age	TRUE	0.0380374563393639	0.154402760520285	0.806343687755134	0.942148259817008	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_06	Age	TRUE	-0.0279046247333403	0.133042840844597	0.834658639191243	0.942148259817008	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_07	Age	TRUE	-0.063242598710878	0.137265141972282	0.646840282750788	0.942148259817008	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_08	Age	TRUE	-0.0959312976053	0.135672974250103	0.482558652634574	0.942148259817008	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_09	Age	TRUE	-0.0228261384122378	0.132273031661728	0.863635904832258	0.942148259817008	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_10	Age	TRUE	0.051500457864517	0.178614238585199	0.77419538063257	0.942148259817008	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_11	Age	TRUE	-0.0526205988895774	0.192548339780289	0.785696167424761	0.942148259817008	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_12	Age	TRUE	0.112045604580429	0.163998524722983	0.497758160691318	0.942148259817008	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_01	Male sex	TRUE	0.161095963921624	0.197069562406507	0.417259359884268	0.934956318444811	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_02	Male sex	TRUE	-0.016722613641208	0.203954468643326	0.934956318444811	0.934956318444811	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_03	Male sex	TRUE	0.0340200099433093	0.188416299116132	0.857390707755545	0.934956318444811	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_04	Male sex	TRUE	0.0398869911686984	0.184562771895548	0.829711545622229	0.934956318444811	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_05	Male sex	TRUE	0.197288687807357	0.194056130777945	0.31384979613388	0.934956318444811	FALSE	0.35	TRUE	Missed simulated signal
0.05	5	Genus_06	Male sex	TRUE	-0.0361230139659847	0.18364784681414	0.844802949239142	0.934956318444811	FALSE	0	FALSE	Non-robust result at simulated null
0.05	5	Genus_07	Male sex	TRUE	0.0327310653328681	0.177769153119244	0.854608085009725	0.934956318444811	FALSE	0	FALSE	Non-robust result at simulated null
