minimum_prevalence	minimum_prevalence_percent	Genus	detection_threshold	detection_prevalence	retained
0.05	5	Genus_01	10	1	TRUE
0.05	5	Genus_02	10	1	TRUE
0.05	5	Genus_03	10	1	TRUE
0.05	5	Genus_04	10	1	TRUE
0.05	5	Genus_05	10	1	TRUE
0.05	5	Genus_06	10	1	TRUE
0.05	5	Genus_07	10	1	TRUE
0.05	5	Genus_08	10	1	TRUE
0.05	5	Genus_09	10	1	TRUE
0.05	5	Genus_10	10	1	TRUE
0.05	5	Genus_11	10	0.483333333333333	TRUE
0.05	5	Genus_12	10	0.05	TRUE
0.2	20	Genus_01	10	1	TRUE
0.2	20	Genus_02	10	1	TRUE
0.2	20	Genus_03	10	1	TRUE
0.2	20	Genus_04	10	1	TRUE
0.2	20	Genus_05	10	1	TRUE
0.2	20	Genus_06	10	1	TRUE
0.2	20	Genus_07	10	1	TRUE
0.2	20	Genus_08	10	1	TRUE
0.2	20	Genus_09	10	1	TRUE
0.2	20	Genus_10	10	1	TRUE
0.2	20	Genus_11	10	0.483333333333333	TRUE
0.2	20	Genus_12	10	0.05	FALSE
0.5	50	Genus_01	10	1	TRUE
0.5	50	Genus_02	10	1	TRUE
0.5	50	Genus_03	10	1	TRUE
0.5	50	Genus_04	10	1	TRUE
0.5	50	Genus_05	10	1	TRUE
0.5	50	Genus_06	10	1	TRUE
0.5	50	Genus_07	10	1	TRUE
0.5	50	Genus_08	10	1	TRUE
0.5	50	Genus_09	10	1	TRUE
0.5	50	Genus_10	10	1	TRUE
0.5	50	Genus_11	10	0.483333333333333	FALSE
0.5	50	Genus_12	10	0.05	FALSE
