Genus	lfc_(Intercept)	lfc_groupT2D	lfc_age_centered	lfc_sexMale	lfc_metforminYes	lfc_batchBatch2	se_(Intercept)	se_groupT2D	se_age_centered	se_sexMale	se_metforminYes	se_batchBatch2	W_(Intercept)	W_groupT2D	W_age_centered	W_sexMale	W_metforminYes	W_batchBatch2	p_(Intercept)	p_groupT2D	p_age_centered	p_sexMale	p_metforminYes	p_batchBatch2	q_(Intercept)	q_groupT2D	q_age_centered	q_sexMale	q_metforminYes	q_batchBatch2	diff_(Intercept)	diff_groupT2D	diff_age_centered	diff_sexMale	diff_metforminYes	diff_batchBatch2	passed_ss_(Intercept)	passed_ss_groupT2D	passed_ss_age_centered	passed_ss_sexMale	passed_ss_metforminYes	passed_ss_batchBatch2	diff_robust_(Intercept)	diff_robust_groupT2D	diff_robust_age_centered	diff_robust_sexMale	diff_robust_metforminYes	diff_robust_batchBatch2
Genus_01	-0.0203216722712472	-0.241958423995299	0.00130548500739862	0.14895425302714	0.290927520683638	0.00812720342748175	0.208047399351414	0.258624693803889	0.0158693714339749	0.198195893903921	0.279571702600222	0.204294471509829	-0.0976780884288863	-0.935558087808785	0.0822644433543029	0.751550650687791	1.04061862476709	0.0397818079335091	0.922549574476963	0.353665899427824	0.934740603933221	0.45558446104851	0.302689465647874	0.968413797855668	0.922940217109711	0.72188667707276	0.934740603933221	0.909868457093198	0.904388939403116	0.968413797855668	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Genus_02	0.026411840647373	-0.178880353757231	0.0120178395706215	-0.0288643245356924	0.144817065404282	0.102455912554685	0.203813298960022	0.252999040908168	0.015894612441324	0.208185482330435	0.275860487499995	0.203399546479069	0.129588406557089	-0.707039651672673	0.756095162117743	-0.138647153550691	0.52496487161571	0.503717507380127	0.897373577326399	0.482581937961005	0.452878045377329	0.890244742085758	0.601756383160098	0.616508762191432	0.922940217109711	0.72188667707276	0.934740603933221	0.909868457093198	0.904388939403116	0.968413797855668	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Genus_03	-0.202685665291258	0.65127291007234	0.0162020911739296	0.0218782990488249	-0.164482979816949	-0.165594940371525	0.190488952690322	0.235020865085318	0.0147840375554754	0.192359451297392	0.262511381443801	0.196857753125145	-1.06402845114469	2.77112804361396	1.09591788529575	0.113736543233327	-0.626574660924414	-0.841190848430818	0.292050778575698	0.0076462535435966	0.2779783724822	0.909868457093198	0.533578085061494	0.40395071300478	0.922940217109711	0.0420543944897813	0.934740603933221	0.909868457093198	0.904388939403116	0.968413797855668	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
Genus_04	0.21015376103503	-0.14529851240522	0.0142235773884629	0.027745280274214	-0.0307609374122766	-0.267430372974267	0.193547428836394	0.22657497112531	0.014243315550617	0.186133430131008	0.254887406972695	0.185061997036022	1.08579980782216	-0.641282272633992	0.998614215764305	0.149061242006263	-0.120684414258143	-1.44508530793716	0.282391041699877	0.524051909819885	0.322435575316973	0.882060605459602	0.904388939403116	0.154212283876231	0.922940217109711	0.72188667707276	0.934740603933221	0.909868457093198	0.904388939403116	0.968413797855668	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Genus_05	-0.0703578990282928	-0.000477570740548378	0.00441018985505787	0.185146976912872	0.108263142963631	-0.078141731338905	0.209946241368598	0.245922004857569	0.0157049376696991	0.196357971523981	0.262815742716635	0.199776054017808	-0.335123403827778	-0.00194196017889889	0.280815495598358	0.942905324779546	0.411935532645618	-0.391146635281621	0.738830396879421	0.998457697381537	0.779925060140245	0.349928884239238	0.682017326575396	0.697227963237426	0.922940217109711	0.998457697381537	0.934740603933221	0.909868457093198	0.904388939403116	0.968413797855668	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Genus_06	0.0654836506021794	-0.0651763957224768	-0.00218401825221254	-0.0482647248604692	0.0448142620115994	-0.0199898633685627	0.204331981025673	0.23545122410781	0.0132886592782227	0.186481098721305	0.259332930103865	0.190681726099095	0.320476756861432	-0.276814851863473	-0.164352039320602	-0.258818320952734	0.17280590626748	-0.104833660663289	0.749843829218584	0.782979125671208	0.870067670011544	0.796759464502053	0.863450078130992	0.916896227774371	0.922940217109711	0.861277038238329	0.934740603933221	0.909868457093198	0.904388939403116	0.968413797855668	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Genus_07	0.311218663799393	-0.749531131993871	-0.00571781564996632	0.0205893544383837	0.0385098865059514	0.107192954962374	0.18902235719471	0.216093077323836	0.0136336243074272	0.178962196389002	0.232612889505206	0.180387173039938	1.64646483314569	-3.4685568888939	-0.419390729936091	0.115048623976594	0.165553536555375	0.59423823299588	0.105476473709047	0.00103545606342948	0.676594367962966	0.908833323749294	0.8691265696236	0.554834324417534	0.922940217109711	0.0113900166977243	0.934740603933221	0.909868457093198	0.904388939403116	0.968413797855668	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE
Genus_08	-0.0354090108198853	0.130525989394059	-0.00898668553940852	-0.0380051228729977	-0.094137685223136	0.0453094459889258	0.189597244864365	0.204010900883803	0.0135754047615138	0.175308316117712	0.216460844162326	0.173936682856035	-0.186759100034478	0.639799093227875	-0.661982879868581	-0.21679018836436	-0.434894752385523	0.260493906431616	0.852549405388822	0.525008492416553	0.510797453037507	0.829188821817711	0.665371961431898	0.795473603786028	0.922940217109711	0.72188667707276	0.934740603933221	0.909868457093198	0.904388939403116	0.968413797855668	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Genus_09	0.0968397607183216	0.180550444397865	-0.0016761696201023	-0.226304092470491	-0.180485246746835	-0.0377398017319502	0.192130138578376	0.221737189468001	0.0131719095310055	0.186599196324468	0.258087910237819	0.186950146377026	0.504032118203139	0.814254229662816	-0.127253350484738	-1.21278171036162	-0.699316936545086	-0.20187093973085	0.61628913688767	0.419075667905167	0.899212569294093	0.230492291952244	0.487355447363636	0.840776197317095	0.922940217109711	0.72188667707276	0.934740603933221	0.909868457093198	0.904388939403116	0.968413797855668	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Genus_10	-0.0211315308442076	-0.107611544693518	0.00575649000757319	-0.159616547028513	0.820799440071097	-0.0809651183664535	0.217438741483294	0.237892271592639	0.0177615871274779	0.201841556938702	0.257761916566383	0.191332085819006	-0.0971838353186531	-0.452354101178155	0.32409772652961	-0.790801207884992	3.18433169261337	-0.423165398630755	0.922940217109711	0.652825948251565	0.747116084476606	0.432519531734393	0.00240945236832404	0.673855187669849	0.922940217109711	0.797898381196357	0.934740603933221	0.909868457093198	0.0265039760515644	0.968413797855668	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE
