Genus	estimated_log_effect	standard_error	W_statistic	p_value	q_value_BH	differential	passed_pseudocount_sensitivity	differential_robust	simulated_true_log_effect	ci_lower_log	ci_upper_log	estimated_abundance_ratio	ci_lower_abundance_ratio	ci_upper_abundance_ratio	simulated_true_abundance_ratio	result_status
Genus_07	-0.749531131993871	0.216093077323836	-3.4685568888939	0.00103545606342948	0.0113900166977243	TRUE	TRUE	TRUE	-0.6	-1.17307356354859	-0.325988700439152	0.472588082234748	0.30941447323345	0.721813343559431	0.548811636094027	Robust BH q < 0.05
Genus_01	-0.241958423995299	0.258624693803889	-0.935558087808785	0.353665899427824	0.72188667707276	FALSE	TRUE	FALSE	0	-0.748862823850922	0.264945975860324	0.785088817729677	0.472904022259253	1.30336056094334	1	Not robustly differential
Genus_02	-0.178880353757231	0.252999040908168	-0.707039651672673	0.482581937961005	0.72188667707276	FALSE	TRUE	FALSE	0	-0.67475847393724	0.316997766422778	0.836205942311215	0.509279410005122	1.37299950522161	1	Not robustly differential
Genus_04	-0.14529851240522	0.22657497112531	-0.641282272633992	0.524051909819885	0.72188667707276	FALSE	TRUE	FALSE	0	-0.589385455810828	0.298788431000388	0.864764111762541	0.554668048042571	1.34822435081939	1	Not robustly differential
Genus_10	-0.107611544693518	0.237892271592639	-0.452354101178155	0.652825948251565	0.797898381196357	FALSE	TRUE	FALSE	0	-0.57388039701509	0.358657307628054	0.897976352367175	0.563335227667679	1.43140618553034	1	Not robustly differential
Genus_06	-0.0651763957224768	0.23545122410781	-0.276814851863473	0.782979125671208	0.861277038238329	FALSE	TRUE	FALSE	0	-0.526660794973784	0.396308003528831	0.936902183262973	0.590573727565325	1.48632704103118	1	Not robustly differential
Genus_05	-0.000477570740548378	0.245922004857569	-0.00194196017889889	0.998457697381537	0.998457697381537	FALSE	TRUE	FALSE	0	-0.482484700261384	0.481529558780287	0.999522543278206	0.617247809072214	1.61854817439207	1	Not robustly differential
Genus_08	0.130525989394059	0.204010900883803	0.639799093227875	0.525008492416553	0.72188667707276	FALSE	TRUE	FALSE	0	-0.269335376338195	0.530387355126313	1.13942755254042	0.76388702305084	1.69959052623131	1	Not robustly differential
Genus_09	0.180550444397865	0.221737189468001	0.814254229662816	0.419075667905167	0.72188667707276	FALSE	TRUE	FALSE	0	-0.254054446959417	0.615155335755147	1.19787654611752	0.775649569136147	1.8499439396795	1	Not robustly differential
Genus_11	0.250338455030755	0.274631095896754	0.911544463722595	0.366136112673795	0.72188667707276	FALSE	TRUE	FALSE	0	-0.287938492926883	0.788615402988393	1.28446007510165	0.749807709298364	2.20034772124974	1	Not robustly differential
Genus_03	0.65127291007234	0.235020865085318	2.77112804361396	0.0076462535435966	0.0420543944897813	TRUE	TRUE	TRUE	0.7	0.190632014505117	1.11191380563956	1.91798069276325	1.21001410250691	3.0401711270895	2.01375270747048	Robust BH q < 0.05
