Genus	estimated_log_effect	standard_error	W_statistic	p_value	q_value_BH	differential	passed_pseudocount_sensitivity	differential_robust	simulated_true_log_effect
Genus_07	-0.749531131993871	0.216093077323836	-3.4685568888939	0.00103545606342948	0.0113900166977243	TRUE	TRUE	TRUE	-0.6
Genus_03	0.65127291007234	0.235020865085318	2.77112804361396	0.0076462535435966	0.0420543944897813	TRUE	TRUE	TRUE	0.7
Genus_01	-0.241958423995299	0.258624693803889	-0.935558087808785	0.353665899427824	0.72188667707276	FALSE	TRUE	FALSE	0
Genus_02	-0.178880353757231	0.252999040908168	-0.707039651672673	0.482581937961005	0.72188667707276	FALSE	TRUE	FALSE	0
Genus_04	-0.14529851240522	0.22657497112531	-0.641282272633992	0.524051909819885	0.72188667707276	FALSE	TRUE	FALSE	0
Genus_08	0.130525989394059	0.204010900883803	0.639799093227875	0.525008492416553	0.72188667707276	FALSE	TRUE	FALSE	0
Genus_09	0.180550444397865	0.221737189468001	0.814254229662816	0.419075667905167	0.72188667707276	FALSE	TRUE	FALSE	0
Genus_11	0.250338455030755	0.274631095896754	0.911544463722595	0.366136112673795	0.72188667707276	FALSE	TRUE	FALSE	0
Genus_10	-0.107611544693518	0.237892271592639	-0.452354101178155	0.652825948251565	0.797898381196357	FALSE	TRUE	FALSE	0
Genus_06	-0.0651763957224768	0.23545122410781	-0.276814851863473	0.782979125671208	0.861277038238329	FALSE	TRUE	FALSE	0
Genus_05	-0.000477570740548378	0.245922004857569	-0.00194196017889889	0.998457697381537	0.998457697381537	FALSE	TRUE	FALSE	0
