Genus	covariate	effect_unit	estimated_log_effect	standard_error	approximate_ci_lower	approximate_ci_upper	p_value	q_value_BH	differential_robust	simulated_true_log_effect	simulated_true_signal	estimate_error	absolute_estimate_error	sign_matches_truth	truth_within_approximate_interval	recovery_classification
Genus_07	T2D group	T2D versus Control	-0.749531131993871	0.216093077323836	-1.17307356354859	-0.325988700439152	0.00103545606342948	0.0113900166977243	TRUE	-0.6	TRUE	-0.149531131993871	0.149531131993871	TRUE	TRUE	Detected simulated signal
Genus_03	T2D group	T2D versus Control	0.65127291007234	0.235020865085318	0.190632014505117	1.11191380563956	0.0076462535435966	0.0420543944897813	TRUE	0.7	TRUE	-0.04872708992766	0.04872708992766	TRUE	TRUE	Detected simulated signal
Genus_01	T2D group	T2D versus Control	-0.241958423995299	0.258624693803889	-0.748862823850922	0.264945975860324	0.353665899427824	0.72188667707276	FALSE	0	FALSE	-0.241958423995299	0.241958423995299	NA	TRUE	Non-robust result at simulated null
Genus_02	T2D group	T2D versus Control	-0.178880353757231	0.252999040908168	-0.67475847393724	0.316997766422778	0.482581937961005	0.72188667707276	FALSE	0	FALSE	-0.178880353757231	0.178880353757231	NA	TRUE	Non-robust result at simulated null
Genus_04	T2D group	T2D versus Control	-0.14529851240522	0.22657497112531	-0.589385455810828	0.298788431000388	0.524051909819885	0.72188667707276	FALSE	0	FALSE	-0.14529851240522	0.14529851240522	NA	TRUE	Non-robust result at simulated null
Genus_08	T2D group	T2D versus Control	0.130525989394059	0.204010900883803	-0.269335376338195	0.530387355126313	0.525008492416553	0.72188667707276	FALSE	0	FALSE	0.130525989394059	0.130525989394059	NA	TRUE	Non-robust result at simulated null
Genus_09	T2D group	T2D versus Control	0.180550444397865	0.221737189468001	-0.254054446959417	0.615155335755147	0.419075667905167	0.72188667707276	FALSE	0	FALSE	0.180550444397865	0.180550444397865	NA	TRUE	Non-robust result at simulated null
Genus_11	T2D group	T2D versus Control	0.250338455030755	0.274631095896754	-0.287938492926883	0.788615402988393	0.366136112673795	0.72188667707276	FALSE	0	FALSE	0.250338455030755	0.250338455030755	NA	TRUE	Non-robust result at simulated null
Genus_10	T2D group	T2D versus Control	-0.107611544693518	0.237892271592639	-0.57388039701509	0.358657307628054	0.652825948251565	0.797898381196357	FALSE	0	FALSE	-0.107611544693518	0.107611544693518	NA	TRUE	Non-robust result at simulated null
Genus_06	T2D group	T2D versus Control	-0.0651763957224768	0.23545122410781	-0.526660794973784	0.396308003528831	0.782979125671208	0.861277038238329	FALSE	0	FALSE	-0.0651763957224768	0.0651763957224768	NA	TRUE	Non-robust result at simulated null
Genus_05	T2D group	T2D versus Control	-0.000477570740548378	0.245922004857569	-0.482484700261384	0.481529558780287	0.998457697381537	0.998457697381537	FALSE	0	FALSE	-0.000477570740548378	0.000477570740548378	NA	TRUE	Non-robust result at simulated null
Genus_04	Age	per 10-year age increase	0.142235773884629	0.14243315550617	-0.136933210907464	0.421404758676722	0.322435575316973	0.934740603933221	FALSE	0.25	TRUE	-0.107764226115371	0.107764226115371	TRUE	TRUE	Missed simulated signal
Genus_01	Age	per 10-year age increase	0.0130548500739862	0.158693714339749	-0.297984830031922	0.324094530179894	0.934740603933221	0.934740603933221	FALSE	0	FALSE	0.0130548500739862	0.0130548500739862	NA	TRUE	Non-robust result at simulated null
Genus_02	Age	per 10-year age increase	0.120178395706215	0.15894612441324	-0.191356008143735	0.431712799556165	0.452878045377329	0.934740603933221	FALSE	0	FALSE	0.120178395706215	0.120178395706215	NA	TRUE	Non-robust result at simulated null
Genus_03	Age	per 10-year age increase	0.162020911739296	0.147840375554754	-0.127746224348022	0.451788047826614	0.2779783724822	0.934740603933221	FALSE	0	FALSE	0.162020911739296	0.162020911739296	NA	TRUE	Non-robust result at simulated null
Genus_05	Age	per 10-year age increase	0.0441018985505787	0.157049376696991	-0.263714879775524	0.351918676876681	0.779925060140245	0.934740603933221	FALSE	0	FALSE	0.0441018985505787	0.0441018985505787	NA	TRUE	Non-robust result at simulated null
Genus_06	Age	per 10-year age increase	-0.0218401825221254	0.132886592782227	-0.28229790437529	0.238617539331039	0.870067670011544	0.934740603933221	FALSE	0	FALSE	-0.0218401825221254	0.0218401825221254	NA	TRUE	Non-robust result at simulated null
Genus_07	Age	per 10-year age increase	-0.0571781564996632	0.136336243074272	-0.324397192925236	0.21004087992591	0.676594367962966	0.934740603933221	FALSE	0	FALSE	-0.0571781564996632	0.0571781564996632	NA	TRUE	Non-robust result at simulated null
Genus_08	Age	per 10-year age increase	-0.0898668553940852	0.135754047615138	-0.355944788719756	0.176211077931585	0.510797453037507	0.934740603933221	FALSE	0	FALSE	-0.0898668553940852	0.0898668553940852	NA	TRUE	Non-robust result at simulated null
Genus_09	Age	per 10-year age increase	-0.016761696201023	0.131719095310055	-0.274931123008731	0.241407730606685	0.899212569294093	0.934740603933221	FALSE	0	FALSE	-0.016761696201023	0.016761696201023	NA	TRUE	Non-robust result at simulated null
Genus_10	Age	per 10-year age increase	0.0575649000757319	0.177615871274779	-0.290562207622835	0.405692007774299	0.747116084476606	0.934740603933221	FALSE	0	FALSE	0.0575649000757319	0.0575649000757319	NA	TRUE	Non-robust result at simulated null
Genus_11	Age	per 10-year age increase	-0.0487738551319144	0.191064710698711	-0.423260688101388	0.325712977837559	0.799499518389934	0.934740603933221	FALSE	0	FALSE	-0.0487738551319144	0.0487738551319144	NA	TRUE	Non-robust result at simulated null
Genus_05	Male sex	Male versus Female	0.185146976912872	0.196357971523981	-0.199714647274131	0.570008601099875	0.349928884239238	0.909868457093198	FALSE	0.35	TRUE	-0.164853023087128	0.164853023087128	TRUE	TRUE	Missed simulated signal
Genus_11	Male sex	Male versus Female	-0.510176628670535	0.227962778418308	-0.956983674370419	-0.0633695829706514	0.0294478628381673	0.32392649121984	FALSE	0	FALSE	-0.510176628670535	0.510176628670535	NA	FALSE	Non-robust result at simulated null
Genus_01	Male sex	Male versus Female	0.14895425302714	0.198195893903921	-0.239509699024545	0.537418205078825	0.45558446104851	0.909868457093198	FALSE	0	FALSE	0.14895425302714	0.14895425302714	NA	TRUE	Non-robust result at simulated null
Genus_02	Male sex	Male versus Female	-0.0288643245356924	0.208185482330435	-0.436907869903345	0.37917922083196	0.890244742085758	0.909868457093198	FALSE	0	FALSE	-0.0288643245356924	0.0288643245356924	NA	TRUE	Non-robust result at simulated null
Genus_03	Male sex	Male versus Female	0.0218782990488249	0.192359451297392	-0.355146225494063	0.398902823591713	0.909868457093198	0.909868457093198	FALSE	0	FALSE	0.0218782990488249	0.0218782990488249	NA	TRUE	Non-robust result at simulated null
Genus_04	Male sex	Male versus Female	0.027745280274214	0.186133430131008	-0.337076242782562	0.39256680333099	0.882060605459602	0.909868457093198	FALSE	0	FALSE	0.027745280274214	0.027745280274214	NA	TRUE	Non-robust result at simulated null
Genus_06	Male sex	Male versus Female	-0.0482647248604692	0.186481098721305	-0.413767678354227	0.317238228633289	0.796759464502053	0.909868457093198	FALSE	0	FALSE	-0.0482647248604692	0.0482647248604692	NA	TRUE	Non-robust result at simulated null
Genus_07	Male sex	Male versus Female	0.0205893544383837	0.178962196389002	-0.33017655048406	0.371355259360828	0.908833323749294	0.909868457093198	FALSE	0	FALSE	0.0205893544383837	0.0205893544383837	NA	TRUE	Non-robust result at simulated null
Genus_08	Male sex	Male versus Female	-0.0380051228729977	0.175308316117712	-0.381609422463713	0.305599176717718	0.829188821817711	0.909868457093198	FALSE	0	FALSE	-0.0380051228729977	0.0380051228729977	NA	TRUE	Non-robust result at simulated null
Genus_09	Male sex	Male versus Female	-0.226304092470491	0.186599196324468	-0.592038517266448	0.139430332325466	0.230492291952244	0.909868457093198	FALSE	0	FALSE	-0.226304092470491	0.226304092470491	NA	TRUE	Non-robust result at simulated null
Genus_10	Male sex	Male versus Female	-0.159616547028513	0.201841556938702	-0.555225998628369	0.235992904571343	0.432519531734393	0.909868457093198	FALSE	0	FALSE	-0.159616547028513	0.159616547028513	NA	TRUE	Non-robust result at simulated null
Genus_10	Metformin	Yes versus No	0.820799440071097	0.257761916566383	0.315586083600986	1.32601279654121	0.00240945236832404	0.0265039760515644	TRUE	0.8	TRUE	0.0207994400710969	0.0207994400710969	TRUE	TRUE	Detected simulated signal
Genus_01	Metformin	Yes versus No	0.290927520683638	0.279571702600222	-0.257033016412797	0.838888057780073	0.302689465647874	0.904388939403116	FALSE	0	FALSE	0.290927520683638	0.290927520683638	NA	TRUE	Non-robust result at simulated null
Genus_02	Metformin	Yes versus No	0.144817065404282	0.275860487499995	-0.395869490095708	0.685503620904272	0.601756383160098	0.904388939403116	FALSE	0	FALSE	0.144817065404282	0.144817065404282	NA	TRUE	Non-robust result at simulated null
Genus_03	Metformin	Yes versus No	-0.164482979816949	0.262511381443801	-0.679005287446799	0.350039327812901	0.533578085061494	0.904388939403116	FALSE	0	FALSE	-0.164482979816949	0.164482979816949	NA	TRUE	Non-robust result at simulated null
Genus_04	Metformin	Yes versus No	-0.0307609374122766	0.254887406972695	-0.530340255078759	0.468818380254206	0.904388939403116	0.904388939403116	FALSE	0	FALSE	-0.0307609374122766	0.0307609374122766	NA	TRUE	Non-robust result at simulated null
Genus_05	Metformin	Yes versus No	0.108263142963631	0.262815742716635	-0.406855712760974	0.623381998688236	0.682017326575396	0.904388939403116	FALSE	0	FALSE	0.108263142963631	0.108263142963631	NA	TRUE	Non-robust result at simulated null
Genus_06	Metformin	Yes versus No	0.0448142620115994	0.259332930103865	-0.463478280991976	0.553106805015175	0.863450078130992	0.904388939403116	FALSE	0	FALSE	0.0448142620115994	0.0448142620115994	NA	TRUE	Non-robust result at simulated null
Genus_07	Metformin	Yes versus No	0.0385098865059514	0.232612889505206	-0.417411376924252	0.494431149936155	0.8691265696236	0.904388939403116	FALSE	0	FALSE	0.0385098865059514	0.0385098865059514	NA	TRUE	Non-robust result at simulated null
Genus_08	Metformin	Yes versus No	-0.094137685223136	0.216460844162326	-0.518400939781295	0.330125569335023	0.665371961431898	0.904388939403116	FALSE	0	FALSE	-0.094137685223136	0.094137685223136	NA	TRUE	Non-robust result at simulated null
Genus_09	Metformin	Yes versus No	-0.180485246746835	0.258087910237819	-0.68633755081296	0.32536705731929	0.487355447363636	0.904388939403116	FALSE	0	FALSE	-0.180485246746835	0.180485246746835	NA	TRUE	Non-robust result at simulated null
Genus_11	Metformin	Yes versus No	0.0825774585010786	0.275376455599817	-0.457160394474563	0.62231531147672	0.765448399263449	0.904388939403116	FALSE	0	FALSE	0.0825774585010786	0.0825774585010786	NA	TRUE	Non-robust result at simulated null
