Genus	total_count	mean_count	zero_samples	samples_with_count_ge_10	prevalence_ge_10_percent
Genus_01	220836	3680.6	0	60	100
Genus_02	165275	2754.58333333333	0	60	100
Genus_03	174278	2904.63333333333	0	60	100
Genus_04	107186	1786.43333333333	0	60	100
Genus_05	76002	1266.7	0	60	100
Genus_06	45837	763.95	0	60	100
Genus_07	26918	448.633333333333	0	60	100
Genus_08	22749	379.15	0	60	100
Genus_09	12663	211.05	0	60	100
Genus_10	9350	155.833333333333	0	60	100
Genus_11	610	10.1666666666667	1	29	48.3333333333333
Genus_12	195	3.25	6	3	5
