pseudocount	taxon	sample_id	clr_value
0.100000	Akkermansia	S01	-5.407601
0.100000	Bacteroides	S01	0.703867
0.100000	Bifidobacterium	S01	1.213805
0.100000	Blautia	S01	1.683309
0.100000	Escherichia-Shigella	S01	-0.792480
0.100000	Faecalibacterium	S01	2.599100
0.100000	Akkermansia	S02	-1.358577
0.100000	Bacteroides	S02	0.022738
0.100000	Bifidobacterium	S02	0.427649
0.100000	Blautia	S02	0.310004
0.100000	Escherichia-Shigella	S02	-0.850404
0.100000	Faecalibacterium	S02	1.448589
0.100000	Akkermansia	S03	-1.552817
0.100000	Bacteroides	S03	-0.240156
0.100000	Bifidobacterium	S03	0.451329
0.100000	Blautia	S03	1.366620
0.100000	Escherichia-Shigella	S03	-2.015441
0.100000	Faecalibacterium	S03	1.990465
0.500000	Akkermansia	S01	-4.076009
0.500000	Bacteroides	S01	0.434851
0.500000	Bifidobacterium	S01	0.941271
0.500000	Blautia	S01	1.408788
0.500000	Escherichia-Shigella	S01	-1.031487
0.500000	Faecalibacterium	S01	2.322586
0.500000	Akkermansia	S02	-1.342365
0.500000	Bacteroides	S02	0.019439
0.500000	Bifidobacterium	S02	0.422145
0.500000	Blautia	S02	0.305053
0.500000	Escherichia-Shigella	S02	-0.844526
0.500000	Faecalibacterium	S02	1.440254
0.500000	Akkermansia	S03	-1.529221
0.500000	Bacteroides	S03	-0.251560
0.500000	Bifidobacterium	S03	0.433357
0.500000	Blautia	S03	1.344676
0.500000	Escherichia-Shigella	S03	-1.964539
0.500000	Faecalibacterium	S03	1.967287
1.000000	Akkermansia	S01	-3.510028
1.000000	Bacteroides	S01	0.318613
1.000000	Bifidobacterium	S01	0.820705
1.000000	Blautia	S01	1.285762
1.000000	Escherichia-Shigella	S01	-1.112133
1.000000	Faecalibacterium	S01	2.197082
1.000000	Akkermansia	S02	-1.322798
1.000000	Bacteroides	S02	0.015487
1.000000	Bifidobacterium	S02	0.415473
1.000000	Blautia	S02	0.299062
1.000000	Escherichia-Shigella	S02	-0.837290
1.000000	Faecalibacterium	S02	1.430066
1.000000	Akkermansia	S03	-1.501022
1.000000	Bacteroides	S03	-0.264259
1.000000	Bifidobacterium	S03	0.412627
1.000000	Blautia	S03	1.319033
1.000000	Escherichia-Shigella	S03	-1.906487
1.000000	Faecalibacterium	S03	1.940108
